ano,fase,nivel,titulo,enunciado,numero_questao,questao,alternativas
2003,0,1,palíndromes,"uma cadeia de caracteres é chamada de palíndrome pura se a seqüência de caracteres da esquerda para a direita é igual à seqüência de caracteres da direita para a esquerda (uma outra definição é que o primeiro caractere da cadeia deve ser igual ao último caractere, o segundo caractere seja igual ao penúltimo caractere, o terceiro caractere seja igual ao antepenúltimo caractere, e assim por diante). por exemplo, as cadeias de caracteres ‘mim’, ‘axxa’ e ‘ananaganana’ são palíndromes puras. uma outra definição de palíndrome utiliza comparações entre caracteres, considerando que os caracteres são ordenados crescentemente de a até z, ou seja, a &lt; b &lt; c &lt; ... &lt; z. uma cadeia de caracteres é chamada de palíndrome quebrada se a seqüência de resultados da comparação entre o primeiro e o segundo caracteres é igual ao resultado da comparação entre o último e o penúltimo caractere, e o resultado da comparação entre o segundo e o terceiro caracteres é igual ao resultado da comparação entre o penúltimo e o antepenúltimo caracteres, e assim por diante. por exemplo, as cadeias ‘min’ e ‘assocfuus’ são palíndromes quebradas. obviamente, toda cadeia que é palíndrome pura é também palíndrome quebrada.",1,qual das seguintes cadeias é palíndrome quebrada: -,(A) todos - (B) azulmarinho - (C) naomarqueaqui - (D) programar - (E) fim
2003,0,1,palíndromes,"uma cadeia de caracteres é chamada de palíndrome pura se a seqüência de caracteres da esquerda para a direita é igual à seqüência de caracteres da direita para a esquerda (uma outra definição é que o primeiro caractere da cadeia deve ser igual ao último caractere, o segundo caractere seja igual ao penúltimo caractere, o terceiro caractere seja igual ao antepenúltimo caractere, e assim por diante). por exemplo, as cadeias de caracteres ‘mim’, ‘axxa’ e ‘ananaganana’ são palíndromes puras. uma outra definição de palíndrome utiliza comparações entre caracteres, considerando que os caracteres são ordenados crescentemente de a até z, ou seja, a &lt; b &lt; c &lt; ... &lt; z. uma cadeia de caracteres é chamada de palíndrome quebrada se a seqüência de resultados da comparação entre o primeiro e o segundo caracteres é igual ao resultado da comparação entre o último e o penúltimo caractere, e o resultado da comparação entre o segundo e o terceiro caracteres é igual ao resultado da comparação entre o penúltimo e o antepenúltimo caracteres, e assim por diante. por exemplo, as cadeias ‘min’ e ‘assocfuus’ são palíndromes quebradas. obviamente, toda cadeia que é palíndrome pura é também palíndrome quebrada.",2,considere as seguintes cadeias: (i) bit (ii) aaaeaeaeaaa (iii) subinoonibus (iv) tipoerrotudo (v) erarehumano qual das seguintes afirmações é correta? -,(A) (i) e (ii) são palíndromes puras. - (B) (iv) e (v) são palíndromes quebradas - (C) (ii) não é palíndrome pura. - (D) (iii) é palíndrome pura e (iv) é palíndrome quebrada. - (E) (v) é palíndrome quebrada. obi2003- página 2
2003,0,1,roland garros,"no torneio de roland garros, um dos mais tradicionais torneios de tênis do mundo, realizado em paris, participam 128 tenistas. em cada partida, participam dois jogadores, sendo que o vencedor passa para a próxima fase, e o perdedor é eliminado do torneio. a cada rodada, os tenistas que ainda continuam no torneio participam de exatamente uma partida.",3,qual o número total de partidas deste torneio? -,(A) 64 - (B) 65 - (C) 127 - (D) 128 - (E) nenhuma das acima
2003,0,1,roland garros,"no torneio de roland garros, um dos mais tradicionais torneios de tênis do mundo, realizado em paris, participam 128 tenistas. em cada partida, participam dois jogadores, sendo que o vencedor passa para a próxima fase, e o perdedor é eliminado do torneio. a cada rodada, os tenistas que ainda continuam no torneio participam de exatamente uma partida.",4,"quantas rodadas existem, no total, durante o torneio? -",(A) 8 - (B) 9 - (C) 10 - (D) 16 - (E) nenhuma das acima
2003,0,1,biblioteca,"exatamente nove revistas devem ser expostas em uma das prateleiras da biblioteca da escola. vamos chamar a posição mais à esquerda de primeira, e a mais à direita de nona posição. das nove revistas, quatro são sobre ciência, três são sobre esportes, e duas são sobre culinária. as quatro revistas sobre ciência devem ser colocados uma vizinha à outra, e as duas revistas sobre culinária também devem ser dispostas uma vizinha à outra (ou seja, uma ao lado da outra). as três revistas sobre esportes não precisam estar colocadas uma vizinha à outra.",9,"se a sexta posição é ocupada por uma revista de ciência, e a oitava posição é ocupada por uma revista de esportes, qual das seguintes posições deve ser ocupada por uma revista de culinária? -",(A) a primeira - (B) a segunda - (C) a terceira - (D) a quarta - (E) a nona
2003,0,1,biblioteca,"exatamente nove revistas devem ser expostas em uma das prateleiras da biblioteca da escola. vamos chamar a posição mais à esquerda de primeira, e a mais à direita de nona posição. das nove revistas, quatro são sobre ciência, três são sobre esportes, e duas são sobre culinária. as quatro revistas sobre ciência devem ser colocados uma vizinha à outra, e as duas revistas sobre culinária também devem ser dispostas uma vizinha à outra (ou seja, uma ao lado da outra). as três revistas sobre esportes não precisam estar colocadas uma vizinha à outra.",10,as revistas de esportes devem ser colocadas uma vizinha à outra se uma revista de culinária está em qual das seguintes posições? -,(A) na primeira - (B) na terceira - (C) na quinta - (D) na sétima - (E) na nona
2003,0,1,biblioteca,"exatamente nove revistas devem ser expostas em uma das prateleiras da biblioteca da escola. vamos chamar a posição mais à esquerda de primeira, e a mais à direita de nona posição. das nove revistas, quatro são sobre ciência, três são sobre esportes, e duas são sobre culinária. as quatro revistas sobre ciência devem ser colocados uma vizinha à outra, e as duas revistas sobre culinária também devem ser dispostas uma vizinha à outra (ou seja, uma ao lado da outra). as três revistas sobre esportes não precisam estar colocadas uma vizinha à outra.",11,"se a primeira e a sétima posições têm revistas do mesmo tipo, qual das seguintes posições deve ter uma revista de ciência? -",(A) a primeira - (B) a segunda - (C) a quarta - (D) a sexta - (E) a oitava
2003,0,1,biblioteca,"exatamente nove revistas devem ser expostas em uma das prateleiras da biblioteca da escola. vamos chamar a posição mais à esquerda de primeira, e a mais à direita de nona posição. das nove revistas, quatro são sobre ciência, três são sobre esportes, e duas são sobre culinária. as quatro revistas sobre ciência devem ser colocados uma vizinha à outra, e as duas revistas sobre culinária também devem ser dispostas uma vizinha à outra (ou seja, uma ao lado da outra). as três revistas sobre esportes não precisam estar colocadas uma vizinha à outra.",12,"se uma revista de esportes ocupa a quinta posição na prateleira, e uma revista de ciência ocupa a nona posição, qual dos seguintes pares de posições devem ter revistas de tipos diferentes? -",(A) a primeira e a segunda - (B) a segunda e a terceira - (C) a segunda e a quarta - (D) a terceira e a quarta - (E) a terceira e a quinta
2003,0,1,salas de aulas,"uma escola conta com sete salas de aula que devem ser pintadas. as salas estão localizadas em um único lado do corredor, sendo numeradas seqüencialmente, de um a sete, da frente para os fundos do prédio.  sala 7 sala 6 sala 5 sala 4 sala 3 sala 2 sala 1                   entrada entrada entrada entrada entrada entrada entrada  cada sala de aula deve ser pintada utilizando uma única cor, de acordo com as seguintes restrições: - du duas salas devem ser pintadas de branco; duas salas devem ser pintadas de azul; duas salas devem ser pintadas de verde; e uma sala deve ser pintada de amarelo. - as duas salas pintadas de verde devem ser vizinhas (contíguas). - as duas salas pintadas de azul não podem ser vizinhas (contíguas). - a sala pintada de amarelo não pode ser vizinha de uma sala pintada de branco. - a sala número 3 deve ser pintada de branco.",13,"se a sala 2 for pintada de verde, qual das seguintes salas deve também ser pintada de verde? -",(A) sala 1 - (B) sala 3 - (C) sala 4 - (D) sala 5 - (E) sala 6
2003,0,1,salas de aulas,"uma escola conta com sete salas de aula que devem ser pintadas. as salas estão localizadas em um único lado do corredor, sendo numeradas seqüencialmente, de um a sete, da frente para os fundos do prédio.  sala 7 sala 6 sala 5 sala 4 sala 3 sala 2 sala 1                   entrada entrada entrada entrada entrada entrada entrada  cada sala de aula deve ser pintada utilizando uma única cor, de acordo com as seguintes restrições: - du duas salas devem ser pintadas de branco; duas salas devem ser pintadas de azul; duas salas devem ser pintadas de verde; e uma sala deve ser pintada de amarelo. - as duas salas pintadas de verde devem ser vizinhas (contíguas). - as duas salas pintadas de azul não podem ser vizinhas (contíguas). - a sala pintada de amarelo não pode ser vizinha de uma sala pintada de branco. - a sala número 3 deve ser pintada de branco.",14,"se a sala 5 for pintada de branco, qual das seguintes alternativas pode ser verdadeira? -",(A) sala 1 é pintada de azul. - (B) sala 2 é pintada de amarelo. - (C) sala 4 é pintada de verde. - (D) sala 4 é pintada de amarelo. - (E) sala 6 é pintada de azul.
